population_family,coefficient_setting,target_pivot,fitter_pivot,minority_mass,recovery_percent,null_recovery_percent,recovery_gain_over_null,tvd,null_tvd,tvd_gain_over_null,decoy_mass,shannon_entropy,folded_mass,uptake_mse,selected_start_family,selected_start_name,n_starts,signed_error_Folded,signed_error_PUF1,signed_error_PUF2,signed_error_PUF3,signed_error_unfolded,signed_error_PUF2-like
folded_dominant,published,legacy,legacy,0.015,95.77133752392174,70.55354273308477,25.217794790836976,0.010195082622372273,0.201,0.19080491737762773,0.0006540283342375132,0.116499072725005,0.9768342933322903,3.59242549624412e-08,neutral,neutral_dirichlet_1,6,-0.00816570666770966,0.009541054288134836,-0.002029375954662535,0.00021777652718174076,0.0004362518070557724,0.0
folded_dominant,published,legacy,legacy,0.0216,95.74500997114937,71.96681580863714,23.778194162512236,0.009395795498016337,0.19440000000000002,0.18500420450198368,0.0007783246504705181,0.13502103335527038,0.9720904079171667,1.3490526323066144e-08,neutral,neutral_dirichlet_1,6,-0.006309592082833326,0.008617470847545702,-0.0030862034151831275,0.00025941278089594203,0.0005189118695745761,0.0
folded_dominant,published,legacy,legacy,0.02881,95.40687007017229,73.31556526718816,22.091304802984126,0.009605786697983659,0.18718999999999997,0.17758421330201632,0.0009412767761957839,0.1583152028375991,0.9657965893999504,7.332964844749363e-09,neutral,neutral_dirichlet_1,6,-0.0053934106000496085,0.008664509921787827,-0.004212376097934096,0.00031406308851790644,0.0006272136876778774,0.0
folded_dominant,published,legacy,legacy,0.0448,94.41023796711754,75.80970811311596,18.60052985400158,0.012980988134244321,0.17120000000000002,0.1582190118657557,0.001372613158158678,0.2154632348815827,0.9488548507147044,1.3419737998720287e-08,neutral,neutral_dirichlet_1,6,-0.006345149285295615,0.011608374976085599,-0.00663583884894875,0.0004590761578633811,0.000913537000295297,0.0
folded_dominant,published,legacy,legacy,0.0645,93.27516453142604,78.22216316400458,15.053001367421459,0.01879873023643001,0.15149999999999997,0.13270126976356997,0.0019399414701521856,0.28247996788132157,0.9262812531120407,2.8530596511381887e-08,neutral,neutral_dirichlet_1,6,-0.009218746887959317,0.016858788766277846,-0.009579983348470668,0.0006506829685905048,0.0012892585015616808,0.0
folded_dominant,published,legacy,legacy,0.0929,91.90971075229345,80.76731136797446,11.142399384318992,0.027319832517560448,0.12309999999999999,0.09578016748243953,0.002764806385984146,0.36664395414318085,0.8935873886242275,6.014371801097912e-08,neutral,neutral_dirichlet_1,6,-0.013512611375772532,0.0245550261315763,-0.013807221141787918,0.0009314482657812737,0.0018333581202028722,0.0
folded_dominant,published,legacy,legacy,0.1338,90.29875621461689,82.88913878119226,7.4096174334246285,0.0393856900211694,0.08621300012861653,0.04682731010744713,0.003990878344227149,0.4686301856064793,0.8466429129084324,1.2416611585865865e-07,neutral,neutral_dirichlet_1,6,-0.01955708709156756,0.035394811676942306,-0.019828602929601792,0.001354898176625326,0.0026359801676018235,0.0
folded_dominant,published,legacy,legacy,0.1927,88.45497153804523,83.33158269717923,5.123388840865999,0.05578707488499885,0.052000000000000005,-0.0037870748849988464,0.005902570569588467,0.5867017910522674,0.779770868160943,2.4582028354031224e-07,neutral,neutral_dirichlet_1,6,-0.02752913183905703,0.04988450431541047,-0.028257943045941737,0.0020343639495793995,0.0038682066200090674,0.0
folded_dominant,published,legacy,legacy,0.2776,86.5026580287523,80.37307216810717,6.129585860645122,0.0759455793961354,0.11360000000000005,0.03765442060386465,0.009088257651851322,0.7141453837380558,0.6860287768358169,4.5120044668125504e-07,neutral,neutral_dirichlet_1,6,-0.036371223164183064,0.06685732174428405,-0.03957435623195235,0.0032350981901493776,0.005853159461701944,0.0
folded_dominant,published,legacy,legacy,0.4,84.87657975972202,73.04576084040984,11.830818919312179,0.09488552863398086,0.23600000000000004,0.14111447136601918,0.01444036456401696,0.8366588086816102,0.5581136029808821,7.508221907937095e-07,neutral,neutral_dirichlet_1,6,-0.041886397019117894,0.08044516406996388,-0.05299913161486296,0.005514843323489713,0.008925521240527248,0.0
folded_dominant,published,legacy,fast,0.015,92.31061471755451,70.55354273308477,21.757071984469746,0.014328003009246344,0.201,0.18667199699075368,6.849550110764116e-07,0.005712069593414892,0.9993273180542352,0.00041828444014587157,neutral,neutral_dirichlet_1,6,0.01432731805423526,-0.011665231276654257,-0.0026627717325920916,4.518488538154786e-07,2.3310615726093293e-07,0.0
folded_dominant,published,legacy,fast,0.0216,90.47680853369042,71.96681580863714,18.50999272505328,0.020921415421782677,0.19440000000000002,0.17347858457821735,6.912247113048374e-07,0.005761416434401244,0.9993207241970714,0.00041099236684631797,neutral,neutral_dirichlet_1,6,0.02092072419707136,-0.017074428580823944,-0.0038469868409587364,4.56067967215162e-07,2.351567440896754e-07,0.0
folded_dominant,published,legacy,fast,0.02881,88.78203604598913,73.31556526718816,15.466470778800968,0.028124028376174764,0.18718999999999997,0.15906597162382521,6.98253037677426e-07,0.005816675356972519,0.9993133301231371,0.00040312443310096865,neutral,neutral_dirichlet_1,6,0.028123330123137058,-0.022983384299128773,-0.005140644077046017,4.60797639974189e-07,2.37455397703237e-07,0.0
folded_dominant,published,legacy,fast,0.0448,85.66990662266265,75.80970811311596,9.860198509546692,0.04409689638651388,0.17120000000000002,0.12710310361348615,7.145434587073758e-07,0.0059445245711159155,0.9992961818430551,0.0003860430916662501,neutral,neutral_dirichlet_1,6,0.04409618184305508,-0.036087271575153394,-0.008009624811360567,4.7176035984180523e-07,2.4278309886557066e-07,0.0
folded_dominant,published,legacy,fast,0.0645,82.52427412259082,78.22216316400458,4.3021109585862405,0.06377425225733603,0.15149999999999997,0.08772574774266394,7.360533938162724e-07,0.0061128650391999665,0.9992735162039421,0.00036570169402654637,neutral,neutral_dirichlet_1,6,0.06377351620394212,-0.05223005056173969,-0.011544201695596458,4.862358477188519e-07,2.498175460974205e-07,0.0
folded_dominant,published,legacy,fast,0.0929,78.71780717248531,80.76731136797446,-2.049504195489149,0.0921382338888834,0.12309999999999999,0.03096176611111659,7.702131748605008e-07,0.006379173647012567,0.9992374636757086,0.00033776017819256085,neutral,neutral_dirichlet_1,6,0.09213746367570863,-0.07549864191425419,-0.016639591974629095,5.092246359581011e-07,2.6098853890239963e-07,0.0
folded_dominant,published,legacy,fast,0.1338,74.08295640180411,82.88913878119226,-8.806182379388147,0.13297799308066127,0.08621300012861653,-0.04676499295204474,8.271884513022667e-07,0.006820776493543656,0.9991771658922098,0.00030043635343827914,neutral,neutral_dirichlet_1,6,0.13297716589220987,-0.10900067216278342,-0.02397732091787796,5.475681171180415e-07,2.7962033418422517e-07,0.0
folded_dominant,published,legacy,fast,0.1927,68.38149813824384,83.33158269717923,-14.950084558935387,0.19176831697418123,0.052000000000000005,-0.13976831697418124,9.304072397488975e-07,0.007613545639104503,0.9990673865669415,0.00025285934911259075,neutral,neutral_dirichlet_1,6,0.19176738656694148,-0.15722490444572493,-0.03454341252845634,6.170329299450123e-07,3.1337430980388527e-07,0.0
folded_dominant,published,legacy,fast,0.2776,61.25780526617683,80.37307216810717,-19.11526690193034,0.27643521672454574,0.11360000000000005,-0.1628352167245457,1.147728078283293e-06,0.009256816262799202,0.9988340689964674,0.0001974266289550821,neutral,neutral_dirichlet_1,6,0.2764340689964675,-0.2266646656600031,-0.0497705510645425,7.632921473501139e-07,3.844359309331791e-07,0.0
folded_dominant,published,legacy,fast,0.4,52.179891168237134,73.04576084040984,-20.865869672172707,0.3981477255096301,0.23600000000000004,-0.16214772550963008,1.7759392555516776e-06,0.013855561095885132,0.9981459495703745,0.00014554424336295427,neutral,neutral_dirichlet_1,6,0.3981459495703745,-0.3264385910282137,-0.0717091344814165,1.1862243327865191e-06,5.897149227651586e-07,0.0
folded_dominant,published,legacy,slow-N,0.015,96.94821502469411,70.55354273308477,26.39467229160934,0.002405829666636416,0.201,0.1985941703333636,0.0002720451208117293,0.08136295179179784,0.9849325464669624,2.1069911696947836e-05,neutral,neutral_dirichlet_1,6,-6.745353303760915e-05,0.002133784545824729,-0.002338376133598766,8.233698464216126e-05,0.00018970813616956805,0.0
folded_dominant,published,legacy,slow-N,0.0216,96.32800279193141,71.96681580863714,24.361186983294274,0.004604938170534241,0.19440000000000002,0.1897950618294658,0.00030806219145956327,0.09098692335037203,0.9826968759790747,2.1291719430204805e-05,neutral,neutral_dirichlet_1,6,0.004296875979074688,-0.0011304669436464874,-0.0034744712268877423,9.333870479963622e-05,0.00021472348665992706,0.0
folded_dominant,published,legacy,slow-N,0.02881,95.54027338427407,73.31556526718816,22.22470811708591,0.00880648913003895,0.18718999999999997,0.17838351086996102,0.00035643790000616484,0.10366824746956615,0.9796400512300328,2.160180215379424e-05,neutral,neutral_dirichlet_1,6,0.00845005123003284,-0.004103375804031504,-0.004703113326007392,0.00010813428276029321,0.0002483036172458716,0.0
folded_dominant,published,legacy,slow-N,0.0448,94.27369708932699,75.80970811311596,18.463988976211027,0.015178942861152641,0.17120000000000002,0.15602105713884737,0.000505204529840631,0.14126032809459077,0.969873738331312,2.2473585490208416e-05,neutral,neutral_dirichlet_1,6,0.014673738331311914,-0.007809193679471485,-0.007369749181681253,0.00015375658182708777,0.0003514479480135433,0.0
